Câmera,Classe 0,Classe 1,Câmera,Classe 0,Classe 1
1,936,0,1294,45,0
5,5,0,1303,87,0
13,2572,0,1311,0,90
14,180,15,1314,9,0
16,11,0,1338,15,0
17,564,0,1383,900,0
18,3098,0,1385,90,0
19,900,0,1387,180,0
20,235,0,1389,6,0
22,495,0,1390,0,16
24,4,0,1391,116,0
25,9,0,1392,343,0
26,24,0,1393,690,858
27,18,0,1397,90,0
31,18,0,1403,277,504
32,963,495,1404,282,1622
35,45,0,1405,225,1397
36,45,0,1410,18,54
37,15,0,1426,0,9
38,2835,945,1427,15,0
44,475,648,1428,0,45
45,522,0,1430,232,180
46,11,0,1431,277,73
48,45,0,1459,1851,0
49,0,405,1460,2756,0
58,2350,0,1461,5383,0
61,49,0,1462,5604,0
65,4446,0,1468,724,0
68,192,0,1469,665,0
69,45,0,1474,1048,3448
74,135,0,1475,884,3737
77,366,290,1476,394,0
79,45,0,1477,495,0
88,96,0,1487,1836,1742
90,540,0,1492,45,0
92,4076,276,1506,720,0
93,10,0,1507,450,0
94,225,225,1509,0,180
96,1504,0,1514,360,163
97,1628,0,1515,0,135
98,11,0,1524,387,1122
99,15,0,1525,382,1375
103,0,15,1528,2361,0
105,50,0,1529,1103,0
106,212,0,1531,135,0
107,142,0,1534,28,3234
112,420,0,1535,135,242
114,924,225,1538,2028,5640
115,900,0,1539,2266,45
116,9,0,1544,0,45
117,180,0,1545,9,0
120,443,0,1546,1035,0
122,45,0,1547,482,0
124,14,0,1548,15,0
126,18,0,1551,9,0
127,1459,0,1556,826,0
131,45,0,1557,867,0
136,135,585,1566,180,0
138,630,0,1574,5,0
142,39,0,1575,1592,0
145,135,0,1576,1102,0
147,45,0,1577,9,0
149,45,0,1583,945,0
150,50,0,1584,41,0
151,277,0,1585,298,0
153,45,0,1587,495,0
158,180,135,1588,1512,0
159,0,90,1591,495,0
160,495,540,1598,1970,0
161,590,0,1599,52,0
169,418,0,1600,1963,0
173,45,0,1601,1956,0
174,457,0,1603,495,0
175,90,0,1606,127,109
176,0,135,1612,20,19
178,6,0,1613,16,0
179,45,0,1623,8,0
182,312,0,1629,9,0
183,495,0,1635,1076,924
190,45,0,1636,977,987
192,90,0,1637,37,0
196,45,0,1638,4455,0
201,450,0,1639,5158,0
203,1160,0,1644,630,0
206,0,2,1646,0,1063
207,15,0,1648,365,1148
209,45,0,1649,448,1279
217,810,0,1651,0,720
218,45,0,1661,495,0
226,3414,0,1671,2700,630
230,225,0,1676,6,0
235,7889,3021,1677,6,0
240,611,0,1690,15,0
243,45,0,1701,9,0
247,7,0,1703,18,0
249,3460,0,1726,2925,0
255,675,0,1727,45,45
257,45,0,1745,24,0
259,1890,0,1821,10,0
261,31,529,1857,9,0
262,434,624,1881,2560,540
263,60,0,1882,0,45
267,6321,288,1884,45,45
268,69,19,1887,7,0
269,1107,817,1907,0,45
273,3632,0,1922,0,9
